bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2501.0,525.0,1976.0,20.991603358656537,79.00839664134347,2501.0,525.0,1976.0,0.212985200571206,55.552431824571265,55.33944662400006,0.26568825910931176,7904000.0,52500.0,7851500.0
2.0,2500.0,2301.0,199.0,92.04,7.959999999999994,5001.0,2826.0,2175.0,1.1464689082175776,61.14703401743042,60.00056510921284,1.2993103448275862,8700000.0,282600.0,8417400.0
3.0,2501.0,2457.0,44.0,98.24070371851259,1.7592962814874085,7502.0,5283.0,2219.0,2.1432396468908217,62.38403148720832,60.2407918403175,2.380802163136548,8876000.0,528300.0,8347700.0
4.0,2500.0,2479.0,21.0,99.16,0.8400000000000034,10002.0,7762.0,2240.0,3.1489354796832405,62.97441664323868,59.825481163555445,3.4651785714285714,8960000.0,776200.0,8183800.0
5.0,2501.0,2474.0,27.0,98.9204318272691,1.0795681727309017,12503.0,10236.0,2267.0,4.152602881994028,63.73348327242058,59.58088039042655,4.515218350242612,9068000.0,1023600.0,8044400.0
6.0,2500.0,2479.0,21.0,99.16,0.8400000000000034,15003.0,12715.0,2288.0,5.158298714786447,64.32386842845094,59.16556971366449,5.557255244755245,9152000.0,1271500.0,7880500.0
7.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,17504.0,15199.0,2305.0,6.166022978060496,64.80179926904695,58.635776290986456,6.593926247288503,9220000.0,1519900.0,7700100.0
8.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,20004.0,17682.0,2322.0,7.173341555238219,65.27973010964295,58.10638855440474,7.614987080103359,9288000.0,1768200.0,7519800.0
9.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,22505.0,20169.0,2336.0,8.182282876801246,65.6733202136632,57.49103733686196,8.633989726027398,9344000.0,2016900.0,7327100.0
10.0,2500.0,2489.0,11.0,99.56,0.4399999999999977,25005.0,22658.0,2347.0,9.192035570556925,65.98256958110767,56.79053401055074,9.654026416702173,9388000.0,2265800.0,7122200.0
11.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,27506.0,25140.0,2366.0,10.198948461638322,66.51672757942086,56.317779117782536,10.625528317836011,9464000.0,2514000.0,6950000.0
12.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,30006.0,27622.0,2384.0,11.205861352719719,67.02277199887546,55.81691064615573,11.586409395973154,9536000.0,2762200.0,6773800.0
13.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,32507.0,30105.0,2402.0,12.213179929897443,67.52881641833005,55.31563648843261,12.53330557868443,9608000.0,3010500.0,6597500.0
14.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,35007.0,32588.0,2419.0,13.220498507075165,68.00674725892605,54.78624875185089,13.471682513435304,9676000.0,3258800.0,6417200.0
15.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,37508.0,35076.0,2432.0,14.229845514734519,68.37222378408771,54.14237826935319,14.422697368421053,9728000.0,3507600.0,6220400.0
16.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,40008.0,37558.0,2450.0,15.236758405815916,68.8782682035423,53.641509797726386,15.329795918367347,9800000.0,3755800.0,6044200.0
17.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,42509.0,40043.0,2466.0,16.24488835518629,69.32808546527973,53.08319711009344,16.238037307380374,9864000.0,4004300.0,5859700.0
18.0,2501.0,2490.0,11.0,99.56017592962814,0.43982407037185567,45010.0,42533.0,2477.0,17.255046735038295,69.6373348327242,52.382288097685915,17.17117480823577,9908000.0,4253300.0,5654700.0
19.0,2500.0,2477.0,23.0,99.08,0.9200000000000017,47510.0,45010.0,2500.0,18.259931195638064,70.28394714647175,52.024015950833686,18.004,10000000.0,4501000.0,5499000.0
20.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,50011.0,47497.0,2514.0,19.26887251720109,70.677537250492,51.408664733290905,18.89299920445505,10056000.0,4749700.0,5306300.0
21.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,52511.0,49980.0,2531.0,20.276191094378813,71.155468091088,50.87927699670918,19.74713551955749,10124000.0,4998000.0,5126000.0
22.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,55012.0,52468.0,2544.0,21.285538102038167,71.52094461624965,50.23540651421148,20.62421383647799,10176000.0,5246800.0,4929200.0
23.0,2500.0,2487.0,13.0,99.48,0.519999999999996,57512.0,54955.0,2557.0,22.294479423601196,71.8864211414113,49.59194171781011,21.491982792334767,10228000.0,5495500.0,4732500.0
24.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,60013.0,57443.0,2570.0,23.303826431260546,72.25189766657296,48.94807123531241,22.35136186770428,10280000.0,5744300.0,4535700.0
25.0,2500.0,2490.0,10.0,99.6,0.4000000000000057,62513.0,59933.0,2580.0,24.313984811112554,72.53303345515884,48.21904864404629,23.22984496124031,10320000.0,5993300.0,4326700.0
26.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,65014.0,62417.0,2597.0,25.321709074386604,73.01096429575485,47.68925522136824,24.034270311898343,10388000.0,6241700.0,4146300.0
27.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,67514.0,64902.0,2612.0,26.32983902375698,73.43266797863367,47.1028289548767,24.847626339969374,10448000.0,6490200.0,3957800.0
28.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,70015.0,67390.0,2625.0,27.339186031416332,73.79814450379533,46.458958472378995,25.67238095238095,10500000.0,6739000.0,3761000.0
29.0,2500.0,2484.0,16.0,99.36,0.6400000000000006,72515.0,69874.0,2641.0,28.34691029469038,74.24796176553275,45.90105147084237,26.457402499053387,10564000.0,6987400.0,3576600.0
